1.03	^bk#mrk^ck#intro	3	懸論	Mahā ratnakūṭa sūtra
4.04	intro%	36	二　古寶積經的翻譯
5.07	intro%	15	三　寶積的意義
8.04	intro%	35	四　寶積經的宗要
15.01	kp	80	正釋
20.12	kp2	73	甲二　正宗分
23.06	kp%	27	「菩薩有四法，退失智慧。何謂為四？不尊重法，不敬法師。所受深法，秘不說
27.02	kp%	48	復次，迦葉！菩薩有四法，得大智慧，何謂為四？常尊重法，恭敬法師。隨所聞
29.02	kp%	26	己二　不失菩提心
31.09	kp%	32	復次，迦葉！菩薩有四法，世世不失菩提之心，乃至道場，自然現前。何謂為四
34.02	kp%	32	己三　增長善法
36.08	kp%	31	復次，迦葉！菩薩有四法，所生善法增長不失。何謂為四？捨離邪法，求正經典
39.12	kp%	43	己四　直心
41.10	kp%	23	復次，迦葉！菩薩有四直心之相。何謂為四？所犯眾罪，終不覆藏，向他發露，
44.10	kp%	39	「佛法大海，信為能入」<note resp="謝淑歆">《大智度論》卷1〈1 序品〉(CBETA, T25, no. 1509, p. 63, a1-2)。
44.12	kp%	2	己五　善調順
46.13	kp%	26	復次，迦葉！菩薩有四善順之相。何謂為四？所未聞經，聞便信受，如所說行；
48.10	kp%	23	己六　正道
50.09	kp%	24	復次，迦葉！菩薩有四正道。何謂為四？於諸眾生，其心平等。普化眾生，等以
52.05	kp%	22	己七　善知識
55.04	kp%	37	復次，迦葉！菩薩有四善知識、四善等侶。何謂為四？諸來求者是善知識，佛道
57.06	kp%	28	己八　真實菩薩
59.01	kp%	20	復次，迦葉！菩薩有四真實菩薩。何謂為四？能信解空，亦信業報。知一切法無
60.12	kp%	24	戊二　正行勝利
62.13	kp%	25	己二　過魔事
64.11	kp%	23	己三　攝善根
66.12	kp%	26	己四　福德莊嚴
68.11	kp%	24	戊三　正行成就
69.11	kp%	12	「略說成就三十二法」來說明。無著的《<title level="m">攝大乘論‧<title level="a">所知相分》，也引本經的
70.12	kp%	11	愛敬無虛。親厚究竟，於怨親中其心同等，至於涅槃。言常含笑，先意問訊。所
72.05	kp%	19	所行惠施，不求其報。不依生處而行持戒。諸眾生中行無礙忍。為修一切諸善根
73.09	kp%	17	善惡眾生，慈心無異。一心聽法。心住遠離。心不樂著世間眾事。不貪小乘，於
75.02	kp%	19	「於諸眾生，邪行正行，俱不捨棄」：菩薩的攝化，是不捨棄眾生的。就是邪
75.07	kp%	5	如是，迦葉！若人有此三十二法，名為菩薩。
75.11	kp%	4	丁二　讚菩薩功德
76.06	kp%	6	戊二　別讚
77.07	kp%	12	迦葉！譬如一切水種，百穀藥木皆得增長。菩薩亦爾，自心淨故，慈悲普覆一切
78.02	kp%	8	迦葉！譬如一切火種，皆能成熟百穀果實。菩薩智慧亦復如是，皆能成熟一切善
78.10	kp%	8	迦葉！譬如一切風種，皆能成立一切世界。菩薩方便亦復如是，皆能成立一切佛
79.06	kp%	9	己二　月、日
