1.03	^bk#srimala^ck#intro	3	懸論Śrīmālādevī Siṃhanāda ekayāna mahopāya vaipulya Sūtra
9.12	2	108	二　釋經題
14.02	fig14	54	<graphic url="y03.0014.svg"/>
14.09	4	7	「餘二則非真」
16.12	5	29	三　明傳譯
17.08	6	8	四　論頓漸
20.01	7	26	正釋
23.08	8	42	乙二　發起序
25.07	9	22	「心得無疑」。無疑，淺一點說，是堅定的信解；深一點說，就是證悟。但勝
25.12	10	3	丁二　遣信使發其道意
26.05	11	5	「即遣」宮「內」的使「人名旃提羅」的送去。旃提羅，不是個人私名，即內
26.11	12	6	丙二　內因感悟
27.04	13	4	「讀誦」書中的文句，「受持」而不忘書中的文義。對於書中的略讚如來無量
28.07	14	13	丁二　感佛致敬
29.06	15	11	即生此念時，佛於空中現，普放淨光明，顯示無比身。
30.11	16	18	勝鬘及眷屬，頭面接足禮，咸以清淨心，歎佛實功德。
32.04	17	19	甲二　正宗分
32.13	18	8	丙一　歸信
33.13	19	12	如來妙色身，世間無與等，無比不思議，是故今敬禮。
34.13	20	13	如來色無盡，智慧亦復然，一切法常住，是故我歸依。
35.11	21	11	「色」相，是「無盡」的。佛有無量相，相有無量好，如來色相光明是徧遍一切
37.08	22	23	降伏心過惡，及與身四種，已到難伏地，是故禮法王。
39.01	23	19	知一切爾焰，智慧身自在，攝持一切法，是故今敬禮。
39.11	24	7	敬禮過稱量，敬禮無譬類，敬禮無邊法，敬禮難思議！
40.08	25	10	丁二　求攝受
41.07	26	11	我久安立汝，前世已開覺，今復攝受汝，未來生亦然。
42.03	27	9	我已作功德，現在及餘世，如是眾善本，惟願見攝受！爾時，勝鬘及諸眷屬頭面
43.05	28	15	丁三　蒙授記
43.11	29	4	佛於眾中即為授記：汝歎如來真實功德，以此善根，當於無量阿僧祇劫，天人之
45.09	30	24	己二　授果
49.09	31	51	戊二　大眾得記
50.10	32	13	丙二　行願
54.09	33	48	爾時，勝鬘聞受記已，恭敬而立，受十大受。
55.05	34	7	己二　受戒事
56.01	35	5	世尊！我從今日乃至菩提，於諸尊長不起慢心。
56.12	36	11	世尊！我從今日乃至菩提，於諸眾生不起恚心。
57.06	37	7	世尊！我從今日乃至菩提，於他身色及外眾具，不起嫉心。
57.13	38	7	世尊！我從今日乃至菩提，於內外法不起慳心。
58.11	fig58	11	<graphic url="y03.0058.svg"/>
59.10	40	12	庚二　攝眾生戒
60.12	41	14	世尊！我從今日乃至菩提，不自為己行四攝法，為一切眾生故，以不愛染心、無
62.11	42	25	世尊！我從今日乃至菩提，若見孤獨幽繫疾病，種種戹難困苦眾生，終不暫捨，
63.12	43	14	世尊！我從今日乃至菩提，若見捕養眾惡律儀，及諸犯戒，終不棄捨，我得力時
65.13	44	27	何以故？以折伏攝受故，令法久住。法久住者，天人充滿，惡道減少，能於如來
67.01	45	14	「能於如來所轉法輪而得隨轉」。如來所轉法輪，約聲聞說，是四諦法輪；依
67.09	46	8	庚三　攝善法戒
70.06	47	35	我見如是無量大過，又見未來攝受正法菩薩摩訶薩無量福利，故受此大受。
70.13	48	7	戊二　攝眾同行
71.11	49	9	「起疑網」，「以十大受」是「極難度」的。疑惑是網一樣的，為疑網所纏縛
72.06	50	8	我受此十大受如說行者，以此誓故，於大眾中，當雨天華，出天妙音。
72.13	51	5	己二　大眾除疑
73.13	52	12	己三　世尊印許
74.05	53	4	丁二　發三大願
75.04	54	9	己二　發願體相
75.13	55	8	我得正法智已，以無厭心為眾生說，是名第二大願。
76.05	56	5	我於攝受正法，捨身命財護持正法，是名第三大願。
77.03	57	11	戊二　如來印成
78.09	58	18	丁三　攝正法行
79.05	59	7	爾時，勝鬘白佛言：我今當復承佛威神，說調伏大願真實無異。
79.13	60	8	己二　許說
80.04	61	1	己三　正說
80.13	62	8	己四　讚說
82.05	63	16	庚二　引歎所說同佛
83.02	64	9	庚三　結歎所說功德
84.02	65	12	戊二　廣明攝正法行
85.04	66	13	勝鬘白佛：我當承佛神力，更復演說攝受正法廣大之義。
85.10	67	6	庚二　許說
85.12	68	1	庚三　正說
87.01	69	13	辛二　別說
89.10	70	31	子二　大水起世喻
92.03	71	31	子三　大地持重喻
92.08	72	4	如是攝受正法善男子善女人，建立大地，堪能荷負四種重任，喻彼大地。何等為
95.01	73	32	世尊！如是攝受正法善男子善女人，建立大地，堪能荷負四種重任，普為眾生作
95.08	74	7	子四　大寶依地喻
96.09	75	13	「大寶」。四種大寶，就是四種正法——人天法、聲聞法、緣覺法、大乘法。
97.06	76	10	癸二　結成
99.04	77	23	壬二　攝受正法即波羅密波羅蜜
100.02	78	9	癸二　別說
101.04	79	13	「所成熟」的「眾生」，即使他「建立」——安住於「正法」中。如人天善根
101.12	80	8	子二　戒波羅密波羅蜜
